id,type,text
"6e22ce70-1f7c-4b59-9ec8-3e009dc19876","Definiton","uri"
"9237926a-ab04-4cc8-aaaf-0f810e6c6aa8","Definiton","uri"
"8bdd3922-9766-4539-9540-b4e9d510549c","Definiton","uri"
"156161f7-e345-458e-8e2e-f75cfd2fe088","Definiton","uri"
"2f0a6423-5191-4925-8682-b812ea8f3a86","Definiton","uri"
"2db59c5c-9091-42ef-ae1d-c76402642155","Definiton","uri"
"dbd1dc48-aab5-485b-bb10-1ebd916d57ba","Definiton","uri"
"12c03d06-df3e-47db-8413-35dc5da71f67","Definiton","uri"
"1787d5d2-cca1-4196-a8b6-baab7ecc2244","Explication","uri"
"3368a8f7-291e-425a-818e-30e927718c30","Explication","uri"
"65d15afc-d780-44dc-904d-818568d178a4","Explication","uri"
"24463c44-3f02-4816-b587-014fd3e3db65","Explication","uri"
"9dcbf21a-c78e-4649-b715-93f7816c118e","Explication","uri"
"efc254f9-6691-4fef-b989-f37a131867a6","Explication","uri"
"619ae314-68af-4955-81a0-391034ad4063","Explication","uri"
"d34b22ba-9291-4b04-895b-ab14d9a4b0bb","Explication","uri"
"fef2933c-5f65-4a17-a391-d59e2995f137","Explication","uri"
"e04f4d7c-7ca9-4d95-a314-a8143454b074","Explication","uri"
"6f75cae8-ce5c-4725-85ee-dff46116d50b","Explication","uri"
"ac361449-097f-4e3d-82a9-693b0eb50ef3","Explication","uri"
"132fce18-54fb-4bf1-919b-44b217a6e77f","Explication","uri"
"84da8040-ea9e-4303-a43a-3fe280744b1b","Explication","uri"
"a03866b1-5914-4561-af92-186d30bcb822","Explication","uri"
"ba2e3757-bbcf-4fd6-9b28-d1d5003aa19d","Explication","uri"
"6d8cead4-f9ec-49b3-b636-b897c081f2da","Explication","uri"
"81788ae0-f8f9-48d2-9e79-3565bcba027c","Explication","uri"
"6c90d8a3-8cf2-43bd-896c-4067c8312c48","Explication","uri"
"07997552-e1ce-4685-9e36-7821538c0385","Explication","uri"
"0b1f6aeb-cc70-442a-854c-08d85777da95","Explication","uri"
"c1072276-4e1c-416a-b5d8-db2ef652aadd","Explication","uri"
"dfd87b17-dc74-4103-a9a2-d4e62f54b9cb","Explication","uri"
"e03fa885-b38a-4672-a1e1-18a47fbc57c3","Explication","uri"
"757d21e3-d5df-41fd-aa8c-97f287d6e1e5","Explication","uri"
"31a82b0c-3df0-484f-a739-70f8331e8feb","Explication","uri"
"4c10fa59-efef-4d0b-bc67-9764cd79ac37","Explication","uri"
"f7702f6e-59bc-4306-ac77-1f5c09a17b46","Explication","uri"
